,BEV 2016,,PHEV 2016,,2016
Country ,Sales,Stock,Sales,Stock,Share
China ,"257,000",483.19,"79,000",165.58,1.37
United States,"86,731",297.06,"72,885",266.65,0.91
Norway,"29,520",98.88,"20,660",34.38,28.76
United Kingdom,"10,509",31.46,"27,403",54.96,1.41
France,"21,758",66.97,"7,749",17.03,1.46
Japan,"15,461",86.39,"9,390",64.86,0.59
Germany,"11,322",40.92,"13,290",31.81,0.73
Netherland,"3,737",13.11,"20,740",98.9,6.39
Sweden,"2,951",8.03,"10,464",21.29,3.41
Canada,"5,220",14.91,"6,360",14.36,0.59
Denmark,"1,218",,182,,
Korea,"5,099",10.77,164,0.44,
India,,4.8,,,0.02
Others,,52.41,,35.07,0.52
